Scenario ID,Area,Input Highlights,Branch Conditions,Expected LOB,Expected Part Code,Expected Code Modifier,Expected Date Pattern,Business Outcome Notes
S033,LOB Assignment Vision,specialty in VALID_VISION only,setLobVisionHearing,01,same code as segment input,,same dates,Vision-only LOB emission
S034,LOB Assignment Hearing,specialty in VALID_HEARING only,setLobVisionHearing,02,same code as segment input,,same dates,Hearing-only LOB emission
S035,LAB Branch 41+51 Full Match,providerType=LAB; 41 and 51 exist; dates align with 10 participation,handleLabPrograms first branch,80,P,P,can extend to 4000-01-01,LAB path upgrades to P/P timeline
S036,LAB Branch 51 Only,providerType=LAB; only 51 exists,handleLabPrograms second branch,80,L,,date-split around 51 effective date,LAB path introduces L behavior
S037,LAB Branch 48,providerType=LAB; only 48 exists,handleLabPrograms third branch,80,P,L,date-split around 48 effective date,LAB path produces P with modifier L
S038,Terminal Extension PAR,last segment end != 4000-01-01; program36Created=false; participation PAR,terminal extension branch,inherits last LOB,A,,eff=lastEnd+1; end=4000-01-01,Extends timeline with participating code
S039,Terminal Extension Non-PAR,last segment end != 4000-01-01; program36Created=false; no participation,terminal extension branch,inherits last LOB,B,,eff=lastEnd+1; end=4000-01-01,Extends timeline with non-participating code
S040,MedSup/Vision/Hearing Post-Process,DB check true; slobDate exists; s80Date after slobDate,handleLobScenario path A,lob being processed,code unchanged,,if end=4000-01-01 then close to slobDate,Removes status segment and closes open part segment
S041,MedSup/Vision/Hearing Post-Process,DB check true; slobDate exists; s80Date null; other partLobs contain 80,handleLobScenario path B,lob being processed,code unchanged,,if end=4000-01-01 then close to slobDate,Alternate close condition when S80 missing
S042,MedSup/Vision/Hearing Post-Process,DB check false or slobDate null,no post-process adjustment,lob being processed,unchanged,,no date changes,Part/status remain as originally built
S043,Program 60 Inclusion,eligibilityMap contains 60,included in hashProgramCodes + downstream mapping,40,B,,eligibility-driven,Program 60 contributes MedSup B behavior
S044,Program 46 Exclusion,eligibility includes 46,removed from eligList,n/a,n/a,,n/a,Program 46 does not generate part segment in this flow
S045,Single-Eligibility Optimization,all non-special programs have single eligibility and equal starts,allProgramsWithSingleEligibility branch,mapped by active row,mapped PAR/NON-PAR,,segmentData first row mutated,Engine mutates first row instead of adding duplicate row
S046,Same Eff-Date Merge,new segment eff equals previous segment eff,addPartSegment merge behavior,same as previous,new code overwrites previous,,same effective date; previous end/code updated,Prevents duplicate rows with same effective start
S047,Special Overlap Skip,special program row fully enclosed by previous row,addPartSegment special overlap skip,same as previous,previous retained,,new row not inserted,Skips redundant enclosed special-program row
S048,Final Validation,any row has empty provPartCode,constructSegments validation,n/a,throws FilterException,,n/a,Guardrail: missing part code fails processing
